"df_cciindia.text","df_cciindia.created"
".@CCI_India approves Kora Master Fund LP investment of upto 10% (USD 75 million) in Edelweiss Securities Limited",2019-10-16 11:30:50
"@CCI_India received the first green channel combination pertaining to the acquisition of the Essel Mutual Fund by a… https://t.co/X15VGAKZI7",2019-10-07 09:54:05
"@CCI_India approves acquisition of shares of GMR Airports Limited by the entities of Tata Group, GIC and SSG Capita… https://t.co/jRXltrMbnR",2019-10-01 14:57:55
".@CCI_India  approves acquisition of 70 per cent shareholding of Saudi Basic Industries Corporation (SABIC) by Saud… https://t.co/OjsEwLjvXN",2019-09-27 11:11:03
".@CCI_India approves restructuring of pharmacy business of Apollo Hospitals Enterprise Limited and its subsequent a… https://t.co/e5JP9AtI6N",2019-09-23 12:13:58
".@CCI_India  approves acquisition of up to 25.02 per cent share of Federal-Mogul Goetze by Icahn Enterprises, Ameri… https://t.co/hoKcdV1fmT",2019-09-23 12:13:23
"Member. @CCI_India  Dr. Sangeeta Verma met with Consul General of New York Sh. Sandeep Chakravorty.  Discussed Indi… https://t.co/OxTykEhpso",2019-09-12 05:24:22
"@CCI_India approves acquisition of 0.51% of the equity share capital of Quess Corp Limited by… https://t.co/NObLTiCUJY",2019-09-09 04:23:24
".@CCI_India approves acquisition of shareholding in Aakash Educational Services Limited by Singapore VII Topco I",2019-09-09 04:22:53
".@CCI_India approves increase in shareholding of Mitsubishi Corporation in TVS Automobile Solutions Private Limited from 3.26% to 25%",2019-09-09 04:22:18
"@CCI_India approves acquisition of sole control over Altran Technologies S.A. by Capgemini",2019-09-03 11:23:03
"Shri Ashok Kumar Gupta Chairperson CCI pays tribute to Shri Arun Jaitley ji - his clarity of thoughts &amp; approach to… https://t.co/csengiOly1",2019-08-26 11:35:00
"Competition Commission of India pays homage to the former Minister of Finance &amp; Corporate Affairs Shri Arun Jaitley… https://t.co/qd9EOb8jlV",2019-08-26 10:52:21
".@CCI_India approves the acquisition of 51.20% shareholding of Apollo Munich by HDFC and subsequently merger of Apollo Munich into HDFC ERGO",2019-08-23 11:16:16
".@CCI_India approves acquisition of shares in International Paper APPM Limited by West Coast Paper Mills Limited",2019-08-23 11:15:09
"We thank Hon'ble Minister of State for being with us today. We have taken note of the points made by him and we ass… https://t.co/yXg9DUrDbP",2019-08-23 10:57:43
"We thank the Hon’ble Minister for the guidance she provided to us today. We have taken note of the challenges outli… https://t.co/7VKaIP40C0",2019-08-23 10:40:00
"@CCI_India approves acquisition of additional outstanding voting securities of MakeMyTrip Limited by… https://t.co/rJJmgrvZpJ",2019-08-20 12:15:05
".@CCI_India approves the acquisition of shares in Delhivery Private Limited by Canada Pension Plan Investment Board",2019-08-20 12:04:02
".@CCI_India Competition Commission  of India approves acquisition of Sundaram BNP Paribas Home Finance Ltd. by Sundaram Finance Ltd.",2019-07-27 11:18:48
